항목,시점,이용행태별(1),만60-69세,만70세이상
그렇지 않다 (%),2023,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",18.4,67.0
그렇지 않다 (%),2023,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,37.7,80.6
그렇지 않다 (%),2023,모바일 뱅킹 등 금융거래 가능 정도,38.3,84.89999999999999
그렇지 않다 (%),2023,무선 네트워크 설정 가능 정도,24.5,73.1
그렇지 않다 (%),2023,문서나 자료 작성 가능 정도,67.0,92.8
그렇지 않다 (%),2023,쇼핑 및 공연 등 예약/예매 가능 정도,47.9,88.6
그렇지 않다 (%),2023,수신된 이메일 열람 및 확인 가능 정도,51.0,87.69999999999999
그렇지 않다 (%),2023,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,63.7,91.6
그렇지 않다 (%),2023,이메일 작성하여 타인에게 발송 가능 정도,55.8,89.69999999999999
그렇지 않다 (%),2023,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,6.3,46.3
그렇지 않다 (%),2023,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,11.7,56.0
그렇지 않다 (%),2023,파일을 컴퓨터로 이동 가능 정도,61.4,91.0
그렇지 않다 (%),2023,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,52.7,89.89999999999999
그렇지 않다 (%),2023,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,3.7,35.0
그렇지 않다 (%),2024,"구글, 네이버 등 인터넷 검색엔진에서 검색어 사용하여 정보검색 가능 정도",14.899999999999999,64.4
그렇지 않다 (%),2024,디스플레이/소리/보안/알람/입력방법 등의 환경설정 가능 정도,30.200000000000003,76.3
그렇지 않다 (%),2024,모바일 뱅킹 등 금융거래 가능 정도,30.9,82.5
그렇지 않다 (%),2024,무선 네트워크 설정 가능 정도,20.1,67.6
그렇지 않다 (%),2024,문서나 자료 작성 가능 정도,63.1,92.4
그렇지 않다 (%),2024,쇼핑 및 공연 등 예약/예매 가능 정도,46.8,88.3
그렇지 않다 (%),2024,수신된 이메일 열람 및 확인 가능 정도,49.3,87.5
그렇지 않다 (%),2024,스팸문자나 피싱문자 등 위험한 문자 구분 및 차단 방법 인지 정도,55.0,90.39999999999999
그렇지 않다 (%),2024,이메일 작성하여 타인에게 발송 가능 정도,54.400000000000006,88.30000000000001
그렇지 않다 (%),2024,인스턴트 메신저 작성하여 타인에게 발신 가능 정도,4.4,39.1
그렇지 않다 (%),2024,인스턴트 메신저상 사진 및 문서 등 타인에게 전송 가능 정도,9.5,52.8
그렇지 않다 (%),2024,파일을 컴퓨터로 이동 가능 정도,57.7,89.39999999999999
그렇지 않다 (%),2024,필요한 애플리케이션 설치/삭제/업데이트 가능 정도,44.6,86.5
그렇지 않다 (%),2024,휴대폰 문자메시지 작성하여 타인에게 발신 가능 정도,2.7,35.9
